instrument1,instrument2,period,frequency,entry_id
EMBR3,SBSP3,1D,1S,2
KLBN11,BEEF3,1D,1T,1
CXSE3,EGIE3,1D,1T,2
BRKM5,PETR3,1D,1H,1
POMO4,PETR4,1D,1S,1
ELET3,LREN3,1D,1T,3
KLBN11,MBRF3,1D,1H,2
RDOR3,WEGE3,1D,1H,1
CYRE3,ENGI11,1D,1H,3
PCAR3,RECV3,1D,1S,1
AURE3,VIVT3,1D,1S,2
AZZA3,SLCE3,1D,1H,2
UGPA3,VBBR3,1D,1S,3
CVCB3,USIM5,1D,1S,2
BRAV3,ENGI11,1D,1H,1
EQTL3,VIVA3,1D,1H,1
ELET6,KLBN11,1D,1T,3
CPFE3,RECV3,1D,1T,1
BBDC3,CPLE6,1D,1S,3
AZZA3,CVCB3,1D,1H,2
MRVE3,WEGE3,1D,1T,3
BEEF3,VAMO3,1D,1T,1
MOTV3,MRVE3,1D,1H,3
RDOR3,CSNA3,1D,1H,2
LREN3,SANB11,1D,1H,1
BEEF3,SBSP3,1D,1H,2
GGBR4,PETR3,1D,1H,3
PCAR3,RECV3,1D,1H,3
PETR4,PSSA3,1D,1H,2
BBDC4,VBBR3,1D,1T,3
AZZA3,CXSE3,1D,1H,2
CEAB3,SANB11,1D,1H,3
CMIN3,ENEV3,1D,1H,2
MGLU3,VAMO3,1D,1S,3
AURE3,BBDC4,1D,1T,3
CSAN3,EQTL3,1D,1S,3
BBSE3,ENEV3,1D,1T,2
COGN3,ELET6,1D,1H,1
CXSE3,RAIZ4,1D,1S,1
EMBR3,VIVA3,1D,1S,3
RAIZ4,WEGE3,1D,1T,2
ELET3,SUZB3,1D,1H,1
IGTI11,USIM5,1D,1S,2
PETR4,TOTS3,1D,1S,2
CMIG4,EQTL3,1D,1S,1
HYPE3,YDUQ3,1D,1T,2
SBSP3,SLCE3,1D,1H,2
RDOR3,SUZB3,1D,1S,2
CPFE3,LREN3,1D,1S,1
BRKM5,VALE3,1D,1S,2
FLRY3,TOTS3,1D,1H,3
MULT3,UGPA3,1D,1S,3
ALOS3,DIRR3,1D,1S,1
FLRY3,PRIO3,1D,1T,2
BBDC4,POMO4,1D,1H,2
CSAN3,NATU3,1D,1S,2
BBSE3,RENT3,1D,1H,2
CVCB3,YDUQ3,1D,1H,1
ASAI3,VIVA3,1D,1H,3
AURE3,BRKM5,1D,1H,1
IRBR3,VAMO3,1D,1S,1
BRAP4,CPFE3,1D,1H,2
BRKM5,ENGI11,1D,1H,3
BBDC3,ITSA4,1D,1H,2
PSSA3,SUZB3,1D,1S,3
CPLE6,CPFE3,1D,1T,2
BBDC3,EGIE3,1D,1S,1
CSAN3,BEEF3,1D,1T,3
BBAS3,MOTV3,1D,1T,3
MBRF3,USIM5,1D,1T,2
BPAC11,CPFE3,1D,1T,1
ENGI11,BEEF3,1D,1T,2
BBDC3,ENGI11,1D,1T,2
ELET6,MULT3,1D,1S,2
AURE3,CYRE3,1D,1S,3
PCAR3,TIMS3,1D,1S,1
DIRR3,ENGI11,1D,1T,2
PCAR3,UGPA3,1D,1H,3
AZZA3,BBSE3,1D,1T,3
POMO4,SLCE3,1D,1H,1
ENGI11,NATU3,1D,1T,3
CEAB3,MGLU3,1D,1T,1
DIRR3,ELET3,1D,1H,2
MOTV3,VAMO3,1D,1H,2
ITSA4,UGPA3,1D,1T,3
ENGI11,RENT3,1D,1S,2
POMO4,BEEF3,1D,1S,2
CPFE3,RAIL3,1D,1S,3
BBAS3,VIVA3,1D,1S,3
PETR4,SUZB3,1D,1H,1
LREN3,WEGE3,1D,1S,1
BPAC11,CSNA3,1D,1T,1
AURE3,SANB11,1D,1T,3
RECV3,SBSP3,1D,1S,3
RADL3,TOTS3,1D,1S,2
CURY3,IRBR3,1D,1S,1
CURY3,LREN3,1D,1H,3
NATU3,RAIL3,1D,1T,1
AURE3,MBRF3,1D,1H,3
ITUB4,MRVE3,1D,1H,2
CYRE3,EQTL3,1D,1H,1
CSAN3,KLBN11,1D,1H,2
ABEV3,LREN3,1D,1H,1
CYRE3,SBSP3,1D,1H,2
ELET6,ITSA4,1D,1H,3
BBDC3,ISAE4,1D,1H,3
DIRR3,PCAR3,1D,1T,3
BBDC4,ISAE4,1D,1S,2
KLBN11,PRIO3,1D,1H,3
FLRY3,UGPA3,1D,1H,1
CMIG4,DIRR3,1D,1S,1
BBDC3,VALE3,1D,1H,1
AZZA3,BRAP4,1D,1H,1
MGLU3,PSSA3,1D,1S,2
CSAN3,SMFT3,1D,1S,2
ELET3,KLBN11,1D,1T,1
RADL3,WEGE3,1D,1S,2
EGIE3,YDUQ3,1D,1T,2
CPLE6,HAPV3,1D,1T,3
SLCE3,UGPA3,1D,1T,2
ISAE4,RADL3,1D,1H,3
MRVE3,SLCE3,1D,1H,3
CSAN3,VAMO3,1D,1H,1
CYRE3,KLBN11,1D,1S,2
EQTL3,IGTI11,1D,1H,1
CXSE3,UGPA3,1D,1H,1
PCAR3,SANB11,1D,1H,2
RENT3,MBRF3,1D,1H,1
BRAV3,VIVT3,1D,1S,1
COGN3,FLRY3,1D,1T,1
RADL3,RAIL3,1D,1T,2
PETR3,VIVA3,1D,1S,2
BRAV3,IRBR3,1D,1H,1
AZZA3,SBSP3,1D,1S,2
IGTI11,PRIO3,1D,1T,1
PCAR3,USIM5,1D,1H,2
GOAU4,ISAE4,1D,1H,1
EMBR3,TIMS3,1D,1H,3
ELET6,RECV3,1D,1H,2
ASAI3,BBDC3,1D,1S,3
CMIG4,RECV3,1D,1T,1
PETR4,SLCE3,1D,1S,3
MOTV3,SUZB3,1D,1H,3
ENGI11,BEEF3,1D,1S,2
BRAP4,EMBR3,1D,1S,1
CMIG4,SBSP3,1D,1T,1
B3SA3,CEAB3,1D,1S,3
SLCE3,WEGE3,1D,1S,3
AZZA3,CSAN3,1D,1T,2
CMIG4,CMIN3,1D,1H,3
CYRE3,MOTV3,1D,1S,1
CSNA3,VIVA3,1D,1T,1
BRKM5,CSAN3,1D,1H,2
ENGI11,NATU3,1D,1T,1
ITSA4,BEEF3,1D,1T,1
ITSA4,SLCE3,1D,1H,2
CEAB3,SLCE3,1D,1H,1
EMBR3,USIM5,1D,1S,2
BRAP4,IRBR3,1D,1H,1
CPFE3,VBBR3,1D,1T,2
CURY3,GOAU4,1D,1H,2
KLBN11,PCAR3,1D,1H,1
IGTI11,RAIL3,1D,1H,3
ENGI11,RAIL3,1D,1S,3
ALOS3,MBRF3,1D,1H,2
BBDC3,RENT3,1D,1H,2
MBRF3,SUZB3,1D,1T,3
BRAV3,CURY3,1D,1H,2
BRAP4,TOTS3,1D,1S,1
MRVE3,RAIZ4,1D,1T,1
HYPE3,MULT3,1D,1S,3
CMIN3,ITUB4,1D,1T,1
BRAP4,CPFE3,1D,1S,2
EMBR3,ITUB4,1D,1H,1
ISAE4,USIM5,1D,1H,3
B3SA3,BEEF3,1D,1H,2
COGN3,MRVE3,1D,1H,1
CURY3,MULT3,1D,1T,2
ENGI11,SMFT3,1D,1T,3
CPLE6,CSNA3,1D,1H,3
EMBR3,ITUB4,1D,1T,2
AURE3,ITUB4,1D,1T,3
CPLE6,HYPE3,1D,1H,3
NATU3,UGPA3,1D,1T,2
PRIO3,SBSP3,1D,1T,2
CMIN3,MGLU3,1D,1T,1
BBAS3,ENEV3,1D,1H,2
ITSA4,MULT3,1D,1H,1
BRAV3,VBBR3,1D,1T,1
IGTI11,RDOR3,1D,1H,3
B3SA3,SANB11,1D,1H,2
GGBR4,YDUQ3,1D,1T,1
HYPE3,MBRF3,1D,1S,3
BBDC4,FLRY3,1D,1H,3
ITSA4,SBSP3,1D,1H,2
SMFT3,TIMS3,1D,1H,1
IGTI11,VIVT3,1D,1T,2
EQTL3,PETR3,1D,1S,3
RENT3,VALE3,1D,1S,2
HYPE3,POMO4,1D,1H,3
EMBR3,MOTV3,1D,1T,2
ITUB4,RAIZ4,1D,1S,1
CXSE3,EMBR3,1D,1T,1
MGLU3,SMFT3,1D,1T,2
AURE3,LREN3,1D,1T,2
BBAS3,RAIZ4,1D,1S,3
UGPA3,VIVA3,1D,1S,2
ENGI11,GGBR4,1D,1T,2
LREN3,MULT3,1D,1H,2
CVCB3,EQTL3,1D,1H,2
BBAS3,TIMS3,1D,1T,3
CSAN3,VAMO3,1D,1T,2
AZZA3,RDOR3,1D,1T,1
NATU3,RECV3,1D,1H,2
ELET6,VAMO3,1D,1H,3
COGN3,CPFE3,1D,1H,1
B3SA3,IGTI11,1D,1S,1
KLBN11,MRVE3,1D,1T,3
SBSP3,TOTS3,1D,1H,1
ELET6,SANB11,1D,1S,2
ITSA4,ITUB4,1D,1H,1
SANB11,VIVT3,1D,1H,1
BBDC4,ENGI11,1D,1S,3
ENGI11,TIMS3,1D,1S,3
B3SA3,POMO4,1D,1H,2
BEEF3,MOTV3,1D,1T,2
BBDC3,RAIZ4,1D,1S,1
AURE3,ENGI11,1D,1T,1
ABEV3,ISAE4,1D,1H,2
B3SA3,HYPE3,1D,1H,3
DIRR3,ELET6,1D,1S,2
CYRE3,IRBR3,1D,1H,2
BRKM5,PSSA3,1D,1S,3
BPAC11,VBBR3,1D,1S,3
ABEV3,SMFT3,1D,1H,2
BEEF3,TAEE11,1D,1S,1
BRAV3,YDUQ3,1D,1T,1
CSAN3,VAMO3,1D,1S,2
CEAB3,GOAU4,1D,1T,3
CEAB3,TIMS3,1D,1S,3
AZZA3,NATU3,1D,1T,2
BBDC4,ELET6,1D,1H,2
CPLE6,IGTI11,1D,1S,2
BRKM5,WEGE3,1D,1T,3
CPFE3,CYRE3,1D,1T,1
HYPE3,RENT3,1D,1S,2
EGIE3,ITUB4,1D,1S,2
RADL3,UGPA3,1D,1S,1
ITSA4,TOTS3,1D,1T,2
BBDC3,DIRR3,1D,1S,2
MGLU3,MOTV3,1D,1S,2
ENGI11,LREN3,1D,1T,2
BRKM5,MRVE3,1D,1H,2
BBSE3,HYPE3,1D,1T,2
ELET6,TIMS3,1D,1H,1
ENGI11,RDOR3,1D,1H,1
RADL3,UGPA3,1D,1H,2
BRAV3,EQTL3,1D,1H,2
MGLU3,VALE3,1D,1S,1
ENEV3,VALE3,1D,1T,2
BRKM5,CVCB3,1D,1T,3
ENGI11,MBRF3,1D,1T,3
POMO4,MULT3,1D,1S,3
ELET6,CSNA3,1D,1T,3
ASAI3,MGLU3,1D,1S,2
B3SA3,BEEF3,1D,1T,2
PRIO3,VBBR3,1D,1T,1
CURY3,FLRY3,1D,1T,2
CSNA3,VIVT3,1D,1T,2
RDOR3,UGPA3,1D,1H,3
CMIN3,SANB11,1D,1T,3
BBAS3,BRAV3,1D,1T,3
ELET3,PCAR3,1D,1S,2
TIMS3,VALE3,1D,1S,3
AURE3,CMIN3,1D,1H,2
BBAS3,TIMS3,1D,1H,3
IRBR3,MOTV3,1D,1H,2
CVCB3,PCAR3,1D,1T,2
TIMS3,VIVA3,1D,1T,1
CYRE3,LREN3,1D,1T,2
IGTI11,MGLU3,1D,1S,3
MBRF3,PETR3,1D,1H,3
BRAV3,BPAC11,1D,1T,2
ITSA4,NATU3,1D,1H,3
HAPV3,PETR4,1D,1T,2
EGIE3,RADL3,1D,1T,2
CURY3,CVCB3,1D,1T,1
RENT3,POMO4,1D,1T,3
CXSE3,ELET3,1D,1T,1
BBAS3,KLBN11,1D,1S,2
HYPE3,SLCE3,1D,1S,3
GGBR4,VIVA3,1D,1H,3
MOTV3,RDOR3,1D,1S,2
BPAC11,EMBR3,1D,1H,2
BBDC3,PSSA3,1D,1T,2
MRVE3,CSNA3,1D,1S,3
BBAS3,SBSP3,1D,1S,3
EGIE3,RAIL3,1D,1T,2
ITUB4,SUZB3,1D,1S,3
AZZA3,RDOR3,1D,1H,3
MRVE3,PETR3,1D,1H,3
SMFT3,TAEE11,1D,1T,1
BRAP4,BRAV3,1D,1T,1
IGTI11,ITUB4,1D,1S,2
CYRE3,PSSA3,1D,1H,2
MOTV3,RAIZ4,1D,1S,3
ENEV3,WEGE3,1D,1T,3
KLBN11,BEEF3,1D,1H,1
NATU3,USIM5,1D,1S,3
BEEF3,PETR3,1D,1S,1
TAEE11,UGPA3,1D,1T,2
CPLE6,MGLU3,1D,1S,3
EMBR3,HAPV3,1D,1T,2
ASAI3,BBSE3,1D,1H,2
PETR3,RAIZ4,1D,1S,3
CPFE3,ENEV3,1D,1T,3
SUZB3,VAMO3,1D,1T,1
IRBR3,USIM5,1D,1T,1
BRAV3,IRBR3,1D,1S,3
IGTI11,SMFT3,1D,1T,2
CURY3,SMFT3,1D,1H,1
IRBR3,TAEE11,1D,1S,2
GGBR4,TIMS3,1D,1S,2
AURE3,NATU3,1D,1S,2
RADL3,VALE3,1D,1T,2
PSSA3,SANB11,1D,1S,2
FLRY3,TAEE11,1D,1H,2
CPLE6,RAIZ4,1D,1H,3
GGBR4,HYPE3,1D,1S,1
ELET3,TIMS3,1D,1H,2
CPFE3,MBRF3,1D,1S,2
BPAC11,CPLE6,1D,1H,3
CYRE3,VIVA3,1D,1S,1
LREN3,VAMO3,1D,1H,1
ITSA4,PSSA3,1D,1T,2
CEAB3,NATU3,1D,1S,2
EMBR3,BEEF3,1D,1H,1
B3SA3,BBDC3,1D,1S,3
SBSP3,SLCE3,1D,1H,1
BBSE3,BBDC3,1D,1S,3
IRBR3,RENT3,1D,1T,2
ELET3,TAEE11,1D,1H,3
BBDC4,PSSA3,1D,1S,3
CYRE3,VIVT3,1D,1S,1
MBRF3,WEGE3,1D,1S,2
ASAI3,ITUB4,1D,1T,2
CPLE6,WEGE3,1D,1S,3
CPLE6,TOTS3,1D,1T,2
BBSE3,ELET3,1D,1T,1
HAPV3,IGTI11,1D,1H,3
DIRR3,VALE3,1D,1H,1
BBSE3,DIRR3,1D,1H,2
POMO4,RAIZ4,1D,1H,2
ENGI11,PRIO3,1D,1T,3
BBAS3,TOTS3,1D,1H,3
ELET3,PRIO3,1D,1T,3
ITUB4,LREN3,1D,1H,3
CPLE6,ENEV3,1D,1S,2
GOAU4,TOTS3,1D,1H,1
ELET3,BEEF3,1D,1S,3
BBDC3,VBBR3,1D,1H,2
BRKM5,RECV3,1D,1H,2
AURE3,LREN3,1D,1T,1
ELET3,PETR4,1D,1H,2
AURE3,COGN3,1D,1T,2
CPLE6,ENEV3,1D,1T,1
BEEF3,SLCE3,1D,1T,2
HAPV3,RENT3,1D,1S,3
CVCB3,PCAR3,1D,1H,1
AZZA3,USIM5,1D,1S,3
BPAC11,PETR3,1D,1T,3
BBSE3,PETR3,1D,1S,2
CYRE3,MULT3,1D,1T,2
BRKM5,HAPV3,1D,1T,1
HYPE3,RAIZ4,1D,1T,3
CMIN3,BEEF3,1D,1S,3
CEAB3,MOTV3,1D,1S,2
EMBR3,GGBR4,1D,1T,3
BRAP4,MULT3,1D,1T,3
ELET3,TAEE11,1D,1T,2
MBRF3,VBBR3,1D,1H,2
ABEV3,B3SA3,1D,1H,1
FLRY3,IGTI11,1D,1T,3
ELET3,PRIO3,1D,1H,2
B3SA3,FLRY3,1D,1H,3
CMIN3,ISAE4,1D,1H,2
CYRE3,POMO4,1D,1T,3
FLRY3,MULT3,1D,1T,3
SBSP3,VALE3,1D,1T,3
CPFE3,SUZB3,1D,1T,3
BRKM5,BRAV3,1D,1S,2
RAIL3,SANB11,1D,1T,3
RADL3,UGPA3,1D,1T,2
BRKM5,SLCE3,1D,1H,1
PRIO3,RDOR3,1D,1T,3
PETR3,TOTS3,1D,1S,1
BPAC11,TAEE11,1D,1T,3
RAIZ4,VAMO3,1D,1T,3
RAIL3,SLCE3,1D,1T,2
ELET6,UGPA3,1D,1T,2
CPFE3,VIVA3,1D,1H,1
HAPV3,RAIL3,1D,1H,3
CMIN3,RDOR3,1D,1H,3
CSNA3,VIVA3,1D,1H,2
CEAB3,PETR3,1D,1H,1
LREN3,PRIO3,1D,1T,2
DIRR3,GOAU4,1D,1S,1
EGIE3,PSSA3,1D,1T,2
CVCB3,UGPA3,1D,1T,3
BBSE3,TAEE11,1D,1H,3
BBSE3,EGIE3,1D,1S,3
RAIZ4,VIVA3,1D,1T,3
RECV3,SUZB3,1D,1H,3
ITUB4,MRVE3,1D,1S,2
CMIN3,MRVE3,1D,1T,2
BRKM5,FLRY3,1D,1H,3
BRKM5,POMO4,1D,1S,2
GGBR4,YDUQ3,1D,1T,2
MULT3,VALE3,1D,1S,3
PETR3,VIVA3,1D,1S,1
KLBN11,CSNA3,1D,1S,1
POMO4,SANB11,1D,1H,3
BRAP4,GOAU4,1D,1S,2
BEEF3,MRVE3,1D,1H,1
BBSE3,CVCB3,1D,1S,2
BBDC3,CEAB3,1D,1H,2
GOAU4,USIM5,1D,1S,2
ALOS3,AZZA3,1D,1H,2
CYRE3,CSNA3,1D,1S,2
ELET6,USIM5,1D,1H,2
ASAI3,PETR3,1D,1T,2
CEAB3,KLBN11,1D,1S,3
GOAU4,SUZB3,1D,1T,2
AURE3,YDUQ3,1D,1T,1
BRKM5,GOAU4,1D,1S,2
ENGI11,CSNA3,1D,1S,1
B3SA3,SMFT3,1D,1S,3
ALOS3,RDOR3,1D,1S,2
CVCB3,KLBN11,1D,1T,3
PRIO3,YDUQ3,1D,1S,3
CMIN3,TIMS3,1D,1T,1
RENT3,YDUQ3,1D,1H,3
ELET3,VIVA3,1D,1T,2
CSAN3,CVCB3,1D,1T,3
ITSA4,PETR4,1D,1H,2
ASAI3,LREN3,1D,1H,2
ENGI11,SLCE3,1D,1T,3
